Caption	Image ID
<span RHS><i>Dahlia</i> 'Moonfire' (Sin) AGM</span> Misc-DwB	P00001
<span RHS><i>Echinacea</i> 'Art's Pride' <sup>(PBR)</sup></span>	P00002
<span RHS><i>Achillea</i> 'Credo' AGM</span>	P00003
<span RHS><i>Aconitum</i> 'Stainless Steel' AGM</span>	P00004
<span RHS><i>Allium sphaerocephalon</i> AGM</span>	P00005
<span RHS><i>Alstroemeria aurea</i></span> - at Stockwood Park	P00006
<span RHS><i>Alstroemeria aurea</i></span>	P00007
<span RHS><i>Alstroemeria</i> 'Tessa' AGM</span>	P00008
<span RHS><i>Campanula lactiflora</i></span>	P00009
<span RHS><i>Alstroemeria</i> 'Yellow Friendship' AGM</span>	P00010
<span RHS><i>Euphorbia griffithii</i></span>	P00011
<span RHS><i>Euphorbia griffithii</i></span> - with shield bug	P00012
<span RHS><i>Hemerocallis</i> 'Thundering Ovation'</span>	P00014
<span RHS><i>Hemerocallis</i> 'Trahlyta'</span>	P00015
<span RHS><i>Iris chrysographes</i> AGM</span>	P00016
<span RHS><i>Iris japonica</i> AGM</span>	P00017
<i>Allium aflatunense</i>	P00018
<span RHS><i>Brunnera macrophylla</i> 'Jack Frost' <sup>(PBR)</sup> AGM</span>	P00019
<span RHS><i>Aconitum lycoctonum</i> subsp. <i>vulparia</i></span>	P00020
<i>Allium aflatunense</i>	P00021
<span RHS><i>Aquilegia chrysantha</i></span>	P00022
<span RHS><i>Arum creticum</i></span>	P00023
<span RHS><i>Aruncus dioicus</i> (m) AGM</span>	P00024
<span RHS><i>Chaenomeles speciosa</i> 'Moerloosei' AGM</span>	P00025
<span RHS><i>Paeonia cambessedesii</i> AGM</span>	P00026
<span RHS><i>Paeonia cambessedesii</i> AGM</span> - seed head	P00027
<span RHS><i>Paeonia obovata</i> var. <i>alba</i> AGM</span>	P00028
<span RHS><i>Iris laevigata</i> 'Variegata' (v) AGM</span>	P00029
<span RHS><i>Paeonia tenuifolia</i></span>	P00030
<span RHS><i>Paeonia</i> 'Coral Charm' AGM</span>	P00031
<span RHS><i>Paeonia lactiflora</i> 'Sarah Bernhardt' AGM</span>	P00032
<span RHS><i>Phlox adsurgens</i> 'Wagon Wheel'</span>	P00033
<span RHS><i>Pulsatilla vulgaris</i> AGM</span>	P00034
<span RHS><i>Pulsatilla vulgaris</i> AGM</span> - seed head	P00035
<span RHS><i>Campanula persicifolia</i> var. <i>alba</i></span> - at Upton Grey	P00036
<span RHS><i>Camassia leichtlinii</i> subsp. <i>suksdorfii</i> Caerulea Group</span>	P00037
<span RHS><i>Daphne cneorum</i></span>	P00038
<span RHS><i>Daphne tangutica</i> Retusa Group AGM</span>	P00039
<span RHS><i>Euphorbia griffithii</i> 'Dixter'</span>	P00041
<span RHS><i>Euphorbia mellifera</i> AGM</span>	P00042
<span RHS><i>Euphorbia mellifera</i> AGM</span>	P00043
<span RHS><i>Geum rivale</i></span>	P00044
<span RHS><i>Haberlea rhodopensis</i> AGM</span>	P00045
<span RHS><i>Hosta</i> 'Sum and Substance' AGM</span>	P00046
<span RHS><i>Lathyrus vernus</i> AGM</span>	P00047
<span RHS><i>Narcissus cyclamineus</i> (13) AGM</span>	P00048
<span RHS><i>Nectaroscordum siculum</i></span>	P00049
<span RHS><i>Omphalodes cappadocica</i> AGM</span>	P00050
<span RHS><i>Paeonia mlokosewitschii</i> AGM</span>	P00051
<span RHS><i>Paeonia obovata</i> var. <i>alba</i> AGM</span>	P00052
<span RHS><i>Paeonia tenuifolia</i></span>	P00053
<span RHS><i>Paeonia clusii</i></span>	P00054
<span RHS><i>Paeonia tenuifolia</i></span>	P00055
<span RHS><i>Cirsium rivulare</i> 'Atropurpureum' AGM</span>	P00056
<span RHS><i>Glaucium corniculatum</i></span>	P00057
<span RHS><i>Glaucium corniculatum</i></span> - foliage	P00058
<span RHS><i>Convolvulus cneorum</i> AGM</span>	P00059
<span RHS><i>Diascia barberae</i> 'Hopleys Apricot'</span>	P00060
<span RHS><i>Alstroemeria</i> 'Yellow Friendship' AGM</span>	P00061
<span RHS><i>Acer japonicum</i> 'Aconitifolium' AGM</span> - flowers	P00062
<span RHS><i>Cornus kousa</i> var. <i>chinensis</i> 'China Girl' AGM</span>	P00063
<span RHS><i>Cornus kousa</i> var. <i>chinensis</i> 'China Girl' AGM</span>	P00064
<span RHS><i>Clematis cirrhosa</i></span>	P00065
<span RHS><i>Hemerocallis</i> 'Pink Damask' AGM</span>	P00066
<span RHS><i>Tulipa</i> 'Queen of Sheba' (6)</span>	P00067
<span RHS><i>Tulipa</i> 'Queen of Sheba' (6)</span>	P00068
<span RHS><i>Acanthus mollis</i></span>	P00069
<span RHS><i>Magnolia stellata</i></span>	P00070
<span RHS><i>Acanthus spinosus</i> L.</span>	P00071
<span RHS><i>Acanthus spinosus</i> L.</span>	P00072
<span RHS><i>Achillea ptarmica</i> (The Pearl Group) 'The Pearl' (clonal) (d)</span>	P00073
<span RHS><i>Alchemilla mollis</i> AGM</span>	P00074
<span RHS><i>Alchemilla mollis</i> AGM</span>	P00075
<span RHS><i>Allium hollandicum</i> 'Purple Sensation' AGM</span>	P00076
<span RHS><i>Allium hollandicum</i> 'Purple Sensation' AGM</span>	P00077
<span RHS><i>Anemone blanda</i> AGM</span>	P00078
<span RHS><i>Anisodontea capensis</i></span>	P00079
<span RHS><i>Anisodontea capensis</i></span>	P00080
<span RHS><i>Achillea</i> 'Forncett Fletton' (Forncett Series)</span>	P00081
<span RHS><i>Anemone hupehensis</i> var. <i>japonica</i> 'Bressingham Glow'</span>	P00082
<span RHS><i>Anthemis tinctoria</i> 'E.C. Buxton' AGM</span>	P00083
<span RHS><i>Anthemis tinctoria</i> 'E.C. Buxton' AGM</span>	P00084
<span RHS><i>Anthemis tinctoria</i> 'Sauce Hollandaise'</span>	P00085
<span RHS><i>Armeria maritima</i> 'Splendens'</span>	P00088
<span RHS><i>Armeria maritima</i> 'Splendens'</span>	P00089
